# x, y, omega
# 
739.532809 250.274093 0.000000
735.523607 250.524603 0.000733
731.430392 250.863942 0.001237
727.283969 251.294233 0.001733
722.899701 251.844572 0.002260
719.191146 253.379429 0.003455
715.118458 254.461682 0.004196
711.125734 255.439489 0.004810
706.868577 256.499813 0.005428
702.664255 257.601098 0.006026
697.795165 258.966365 0.006715
693.372103 260.302487 0.007343
688.435214 261.911496 0.008049
684.369027 263.335599 0.008636
680.011777 265.381016 0.009501
676.189103 267.252551 0.010209
671.775581 269.449468 0.010966
666.967175 271.946414 0.011779
661.754901 274.794379 0.012653
658.052275 276.916744 0.013273
654.166095 279.240639 0.013926
650.096359 281.787436 0.014612
645.844407 284.580420 0.015335
641.413257 287.644876 0.016095
638.160390 290.646787 0.016893
633.862468 294.305734 0.017727
629.405135 298.282958 0.018595
624.802204 302.607535 0.019498
620.070809 307.310112 0.020438
615.231971 312.422686 0.021416
610.311201 317.978290 0.022432
605.339121 324.010550 0.023486
601.392808 330.213256 0.024577
599.119900 333.677724 0.025133
596.859389 337.269072 0.025696
594.617382 340.990485 0.026266
592.400371 344.844977 0.026843
590.215244 348.835365 0.027425
588.069290 352.964224 0.028014
585.970203 357.233850 0.028607
583.926084 361.646217 0.029206
581.945441 366.202934 0.029809
580.037176 370.905195 0.030415
579.099515 375.205299 0.031025
577.553585 380.206366 0.031636
576.109273 385.339202 0.032246
574.776295 390.602125 0.032855
573.564556 395.992815 0.033462
572.484110 401.508274 0.034065
571.545108 407.144780 0.034664
570.757750 412.897850 0.035258
570.132216 418.762207 0.035844
570.588137 423.986803 0.036423
570.487855 430.072085 0.036992
570.580580 436.232112 0.037548
570.874795 442.457465 0.038089
571.378474 448.737915 0.038615
572.098990 455.062435 0.039124
573.043031 461.419234 0.039615
574.216506 467.795793 0.040085
576.493323 473.240282 0.040533
578.299269 479.647264 0.040957
580.349669 486.016170 0.041354
582.645317 492.331524 0.041722
585.185739 498.577588 0.042060
587.969144 504.738486 0.042366
590.992389 510.798325 0.042640
594.250956 516.741324 0.042879
